name,rate,Unnamed: 2,cuisines,food_type,avg_cost_for_two,Unnamed: 6,address,rest_type,mood,companions,seating,photo_url,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Reels ,crowdMorning,crowdAfternoon,crowdEvening,crowdNight,bestVisitTime,peakHours
Onesta,4.4,,"Pizza, Cafe, Italian","snacks, Indian,Beverages",600.0,,"562, 8th Main, Koramangala 4th Block, Bangalore","Casual Dining, Cafe","relaxed, work","colleagues,Friends",indoor," https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1661380724/c0qk8jdq476q6ch63ha4.jpg",,,,,,,,,,,,,https://www.instagram.com/reel/DUqKBqXgfmY/,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
The Hole in the Wall Cafe,4.6,,"Cafe, American, Burger","snacks,Indian ",600.0,,"4, 8th Main Road, Koramangala 4th Block, Bangalore",Cafe,"relaxed, work","colleagues,Friends,Family",indoor,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/62/e9/00/the-hole-in-the-wall.jpg?w=900&h=500&s=1,,,,,,,,,,,,,https://www.instagram.com/reel/DYXFyVISiTI/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Dyu Art Cafe,4.5,,"Cafe, Italian, Fast Food","snacks , Desserts,Beverages,Indian ",800.0,,"23, Near Mangala Kalyana Mantapa, MIG, KHB Colony, Koramangala 5th Block, Bangalore",Cafe,"romantic,work","couple, friends","indoor,outdoor",https://framerusercontent.com/images/stI7GnmUWifONOsaGnDs57dPSM.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/CeLoqzgB663/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Truffles,4.5,,"Cafe, American, Burger, Steak","beverages, snacks",900.0,,"22, St. Marks Road, Bangalore",Cafe,romantic,couple,"indoor,outdoor",https://static.where-e.com/India/Bangalore/N_A/Truffles-Koramangala_640e5a6a6c9e21f5d9011a5164813d54.jpg,,,,,,,,,, ,,,https://www.instagram.com/reel/Cnt71pcjMnx/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Smally's Resto Cafe,4.3,,"Cafe, Italian, Burger, American, Steak","beverages, snacks,Desserts",650.0,,"46, Church Street, Bangalore",Cafe,"relaxed, work,cozy","colleagues,friends",indoor,https://www.mappls.com/explore/images/user_photos/review/original/6c4549df1797bdf1.jpg,,,,,,,,,,,,,,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Cafe Thulp,4.1,,"Cafe, Burger, Italian, Salad","snacks,Indian",1000.0,,"998, 1st Main, Koramangala 1st Block, Bangalore",Cafe,"romantic,relaxed","couple, friends","indoor,outdoor",https://im.whatshot.in/img/2019/Feb/cafe-thulp-cropped-1550033297.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/DJTWjO5TuRb/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
A Hole Lotta Love Cafe,4.4,,"Cafe, American, Burger, Sandwich, Beverages","beverages, Indian",600.0,,"59, 1st Floor, Diagonally Opposite JNC, Industrial Layout, Koramangala 5th Block, Bangalore",Cafe,romantic,"couple, friends",indoor,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/58/92/45/long-shot-of-the-ambience.jpg?w=400&h=300&s=1,,,,,,,,,,,,,https://www.instagram.com/reel/DTiI7Akk7T7/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Green Theory,4.2,,"Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza","desserts, snacks,",800.0,,"15, Convent Road, Off Residency Road, Residency Road, Bangalore","Casual Dining, Cafe","romantic, relaxed","couple, family","indoor,outdoor",https://b.zmtcdn.com/data/pictures/3/52253/340b71df8a8f73108a98747dd9582cbb.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/DYHOZW-Twzh/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Om Made Cafe,4.0,,"Cafe, Continental, European, Juices","beverages,Desserts,Indian",1300.0,,"136, Rooftop, Above Gold's Gym, 1st Cross, Koramangala 5th Block, Bangalore",Cafe,"romantic,woork","couple,friends","indoor,outdoor","https://b.zmtcdn.com/data/pictures/9/55919/ac69c8d37a26541723f850962adff827.jpg?fit=around|750:500&crop=750:500;*,*",,,,,,,,,,,,,https://www.instagram.com/reel/DQ6u5v3Edcp/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Mr. Beans - Home Cafe,4.2,,"Cafe, Continental, Italian","snacks, beverages",1000.0,,"100 Feet Road, Next to Karnataka Bank, Near BDA Complex, 3rd Block, Koramangala 3rd Block, Bangalore",Cafe,"romantic, work","couple, colleagues","indoor,outdoor",https://media-cdn.tripadvisor.com/media/photo-s/0b/4a/69/53/pics-from-mrbeans-home.jpg,,,,,,,,,,,,,,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
